Program,Ligand,Initial Pose,Pose,Exhaustiveness,Energy Range,Energy,RMSD,Execution
Vina,A,crystal,4,8,1,-6.5,4.809,1
Vina,A,crystal,5,8,1,-6.5,4.151,1
Vina,A,crystal,6,8,1,-6.4,5.638,1
Vina,A,crystal,7,8,1,-6.4,4.777,1
Vina,A,crystal,8,8,1,-6.2,5.191,1
Vina,A,crystal,9,8,1,-6.2,4.894,1
Vina,A,crystal,10,8,1,-6.2,5.093,1
Vina,A,crystal,11,8,1,-6.1,4.476,1
Vina,A,crystal,12,8,1,-6.1,4.258,1
Vina,A,crystal,13,8,1,-6.1,5.394,1
Vina,A,crystal,14,8,1,-6.1,4.896,1
Vina,A,crystal,15,8,1,-6.1,4.865,1
Vina,A,crystal,1,8,1,-7.4,4.893,2
Vina,A,crystal,2,8,1,-7.2,5.297,2
Vina,A,crystal,3,8,1,-7.1,4.837,2
Vina,A,crystal,4,8,1,-7.0,5.667,2
Vina,A,crystal,5,8,1,-7.0,5.929,2
Vina,A,crystal,6,8,1,-6.9,4.008,2
Vina,A,crystal,7,8,1,-6.9,3.875,2
Vina,A,crystal,8,8,1,-6.8,5.593,2
Vina,A,crystal,9,8,1,-6.7,4.667,2
Vina,A,crystal,10,8,1,-6.6,5.433,2
Vina,A,crystal,11,8,1,-6.6,5.558,2
Vina,A,crystal,12,8,1,-6.6,4.344,2
Vina,A,crystal,13,8,1,-6.5,6.013,2
Vina,A,crystal,14,8,1,-6.5,6.554,2
Vina,A,crystal,15,8,1,-6.5,5.480,2
Vina,A,crystal,16,8,1,-6.5,5.737,2
Vina,A,crystal,17,8,1,-6.4,5.230,2
Vina,A,crystal,18,8,1,-6.4,6.342,2
Vina,A,crystal,1,8,1,-7.3,5.250,3
Vina,A,crystal,2,8,1,-6.8,4.797,3
Vina,A,crystal,3,8,1,-6.5,5.735,3
Vina,A,crystal,4,8,1,-6.5,5.310,3
Vina,A,crystal,5,8,1,-6.4,4.783,3
Vina,A,crystal,6,8,1,-6.4,5.018,3
Vina,A,crystal,1,8,3,-6.9,4.814,1
Vina,A,crystal,2,8,3,-6.8,4.796,1
Vina,A,crystal,3,8,3,-6.7,5.097,1
Vina,A,crystal,4,8,3,-6.7,6.202,1
Vina,A,crystal,5,8,3,-6.7,6.860,1
Vina,A,crystal,6,8,3,-6.7,6.002,1
Vina,A,crystal,7,8,3,-6.5,4.763,1
Vina,A,crystal,8,8,3,-6.5,6.649,1
Vina,A,crystal,9,8,3,-6.4,4.638,1
Vina,A,crystal,10,8,3,-6.4,4.871,1
Vina,A,crystal,11,8,3,-6.4,5.432,1
Vina,A,crystal,12,8,3,-6.4,4.456,1
